,index,mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total,mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
11,675.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,84.0,4.0,10.3,31.0,3.0,16.0,1.0,166.0,,,,,,,,,,,,,,,
12,676.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,85.0,4.0,10.4,31.0,3.0,17.0,1.0,166.0,,,,,,,,,,,,,,,
13,678.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,86.0,4.0,11.6,30.0,3.0,18.0,1.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,21.0,0.0,2.1,21.0,0.0,18.0,0.0,222.0
14,680.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,88.0,4.0,11.2,32.0,2.0,19.0,2.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,21.0,0.0,2.2,21.0,0.0,18.0,0.0,222.0
15,682.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,93.0,4.0,11.4,34.0,2.0,23.0,3.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,22.0,0.0,2.3,22.0,0.0,18.0,0.0,222.0
16,683.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,97.0,4.0,11.5,37.0,2.0,27.0,3.0,166.0,,,,,,,,,,,,,,,
17,685.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,98.0,4.0,12.1,34.0,2.0,27.0,4.0,166.0,,,,,,,,,,,,,,,
18,686.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,98.0,4.0,12.2,34.0,1.0,27.0,4.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,27.0,0.0,2.6,27.0,0.0,23.0,0.0,222.0
19,687.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,100.0,4.0,12.3,32.0,1.0,29.0,4.0,166.0,,,,,,,,,,,,,,,
20,688.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,101.0,4.0,12.4,32.0,1.0,30.0,4.0,166.0,,,,,,,,,,,,,,,
21,690.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,107.0,4.0,13.6,36.0,1.0,36.0,4.0,166.0,,,,,,,,,,,,,,,
22,691.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,107.0,4.0,13.1,36.0,1.0,36.0,4.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,AA Noffke,43.0,0.0,3.3,43.0,0.0,29.0,4.0,222.0
23,692.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,111.0,4.0,13.2,39.0,1.0,40.0,4.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,AA Noffke,43.0,0.0,3.4,43.0,0.0,29.0,4.0,222.0
24,693.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,112.0,4.0,13.3,39.0,1.0,41.0,4.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,AA Noffke,44.0,0.0,3.5,44.0,0.0,29.0,5.0,222.0
25,696.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,113.0,4.0,14.6,40.0,0.0,42.0,4.0,166.0,,,,,,,,,,,,,,,
26,700.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,114.0,4.0,14.4,32.0,0.0,42.0,5.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,54.0,0.0,4.1,54.0,0.0,35.0,9.0,222.0
27,701.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,115.0,4.0,14.5,33.0,0.0,43.0,5.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,55.0,0.0,4.2,55.0,0.0,35.0,10.0,222.0
28,702.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,121.0,4.0,15.6,38.0,0.0,49.0,5.0,166.0,,,,,,,,,,,,,,,
29,703.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,127.0,4.0,15.1,43.0,0.0,55.0,5.0,166.0,,,,,,,,,,,,,,,
30,704.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,127.0,4.0,15.2,43.0,0.0,55.0,5.0,166.0,,,,,,,,,,,,,,,
31,705.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,128.0,4.0,15.3,44.0,0.0,56.0,5.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,60.0,0.0,4.6,59.0,0.0,40.0,10.0,222.0
32,708.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,128.0,4.0,16.6,42.0,0.0,56.0,5.0,166.0,,,,,,,,,,,,,,,
33,709.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,129.0,4.0,16.1,42.0,0.0,57.0,5.0,166.0,1.0,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,Z Khan,61.0,1.0,5.2,59.0,1.0,41.0,10.0,222.0
34,712.0,6.0,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Warne,136.0,5.0,16.4,43.0,1.0,57.0,12.0,166.0,,,,,,,,,,,,,,,
35,1159.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Harbhajan Singh,83.0,2.0,8.2,63.0,1.0,54.0,2.0,182.0,,,,,,,,,,,,,,,
36,1160.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Harbhajan Singh,84.0,2.0,8.3,63.0,1.0,54.0,3.0,182.0,,,,,,,,,,,,,,,
37,1162.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,Harbhajan Singh,86.0,2.0,8.5,57.0,1.0,55.0,4.0,182.0,,,,,,,,,,,,,,,
38,1164.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,DJ Bravo,87.0,2.0,9.1,57.0,1.0,55.0,5.0,182.0,,,,,,,,,,,,,,,
39,1169.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,DJ Bravo,94.0,2.0,9.6,51.0,1.0,60.0,7.0,182.0,,,,,,,,,,,,,,,
40,1171.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SM Pollock,101.0,2.0,10.2,50.0,1.0,61.0,13.0,182.0,,,,,,,,,,,,,,,
41,1172.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SM Pollock,105.0,2.0,10.3,54.0,1.0,61.0,17.0,182.0,,,,,,,,,,,,,,,
42,1173.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SM Pollock,106.0,2.0,10.4,51.0,1.0,61.0,18.0,182.0,,,,,,,,,,,,,,,
43,1175.0,10.0,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SM Pollock,107.0,3.0,10.6,47.0,2.0,62.0,18.0,182.0,,,,,,,,,,,,,,,
44,2642.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,51.0,1.0,6.2,37.0,1.0,19.0,1.0,178.0,,,,,,,,,,,,,,,
45,2645.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,57.0,1.0,6.5,40.0,1.0,24.0,2.0,178.0,,,,,,,,,,,,,,,
46,2647.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,AB Dinda,57.0,1.0,7.1,36.0,1.0,24.0,2.0,178.0,,,,,,,,,,,,,,,
47,2648.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,AB Dinda,58.0,1.0,7.2,37.0,1.0,24.0,3.0,178.0,,,,,,,,,,,,,,,
48,2653.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,68.0,1.0,8.1,40.0,1.0,34.0,3.0,178.0,,,,,,,,,,,,,,,
49,2654.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,68.0,1.0,8.2,40.0,1.0,34.0,3.0,178.0,,,,,,,,,,,,,,,
50,2655.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,74.0,1.0,8.3,46.0,0.0,34.0,9.0,178.0,,,,,,,,,,,,,,,
51,2656.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,78.0,1.0,8.4,46.0,0.0,34.0,13.0,178.0,,,,,,,,,,,,,,,
52,2657.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,82.0,1.0,8.5,49.0,0.0,34.0,17.0,178.0,,,,,,,,,,,,,,,
53,2658.0,22.0,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,Mohammad Hafeez,82.0,2.0,8.6,48.0,1.0,34.0,17.0,178.0,,,,,,,,,,,,,,,
54,4617.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,134.0,1.0,13.5,55.0,1.0,80.0,1.0,221.0,,,,,,,,,,,,,,,
55,4620.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,136.0,1.0,14.2,54.0,1.0,82.0,1.0,221.0,,,,,,,,,,,,,,,
56,4621.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,137.0,1.0,14.3,55.0,1.0,82.0,2.0,221.0,,,,,,,,,,,,,,,
57,4627.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,145.0,1.0,15.3,45.0,1.0,90.0,2.0,221.0,,,,,,,,,,,,,,,
58,4628.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,149.0,1.0,15.4,48.0,1.0,90.0,6.0,221.0,,,,,,,,,,,,,,,
59,4629.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,D Salunkhe,150.0,1.0,15.5,48.0,1.0,90.0,7.0,221.0,,,,,,,,,,,,,,,
60,4635.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,168.0,1.0,16.3,53.0,1.0,100.0,13.0,221.0,,,,,,,,,,,,,,,
61,4636.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,169.0,1.0,16.4,54.0,1.0,100.0,14.0,221.0,,,,,,,,,,,,,,,
62,4638.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Pankaj Singh,176.0,1.0,16.6,59.0,1.0,103.0,18.0,221.0,,,,,,,,,,,,,,,
63,4642.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,183.0,1.0,17.4,61.0,1.0,104.0,24.0,221.0,,,,,,,,,,,,,,,
64,4643.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,189.0,1.0,17.5,63.0,1.0,104.0,30.0,221.0,,,,,,,,,,,,,,,
65,4644.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SK Trivedi,195.0,1.0,17.6,63.0,1.0,104.0,36.0,221.0,,,,,,,,,,,,,,,
66,4650.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,MM Patel,208.0,1.0,18.6,72.0,0.0,111.0,42.0,221.0,,,,,,,,,,,,,,,
67,4654.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,214.0,2.0,19.3,70.0,1.0,43.0,0.0,221.0,,,,,,,,,,,,,,,
68,4656.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,221.0,2.0,19.5,76.0,1.0,49.0,1.0,221.0,,,,,,,,,,,,,,,
69,4657.0,38.0,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,SR Watson,221.0,3.0,19.6,76.0,2.0,49.0,1.0,221.0,,,,,,,,,,,,,,,
70,5475.0,45.0,2008-05-21,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,CRD Fernando,138.0,2.0,15.1,52.0,1.0,48.0,4.0,189.0,,,,,,,,,,,,,,,
71,5476.0,45.0,2008-05-21,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,CRD Fernando,138.0,2.0,15.2,51.0,1.0,48.0,4.0,189.0,,,,,,,,,,,,,,,
72,5477.0,45.0,2008-05-21,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,CRD Fernando,139.0,2.0,15.3,52.0,1.0,48.0,5.0,189.0,,,,,,,,,,,,,,,
73,5481.0,45.0,2008-05-21,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SD Chitnis,140.0,2.0,16.1,46.0,1.0,48.0,6.0,189.0,,,,,,,,,,,,,,,
74,5484.0,45.0,2008-05-21,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SD Chitnis,147.0,2.0,16.3,47.0,1.0,49.0,7.0,189.0,,,,,,,,,,,,,,,
75,5486.0,45.0,2008-05-21,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Yuvraj Singh,SD Chitnis,148.0,3.0,16.5,41.0,2.0,50.0,7.0,189.0,,,,,,,,,,,,,,,
76,6202.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,BAW Mendis,108.0,2.0,12.6,46.0,1.0,46.0,0.0,174.0,,,,,,,,,,,,,,,
77,6205.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,DJ Hussey,114.0,2.0,13.3,46.0,1.0,51.0,1.0,174.0,,,,,,,,,,,,,,,
78,6207.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,DJ Hussey,115.0,2.0,13.5,45.0,1.0,52.0,1.0,174.0,,,,,,,,,,,,,,,
79,6208.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,DJ Hussey,121.0,2.0,13.6,50.0,1.0,52.0,7.0,174.0,,,,,,,,,,,,,,,
80,6215.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,133.0,3.0,15.1,47.0,2.0,7.0,0.0,174.0,,,,,,,,,,,,,,,
81,6216.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,133.0,3.0,15.2,47.0,2.0,7.0,0.0,174.0,,,,,,,,,,,,,,,
82,6217.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,133.0,3.0,15.3,46.0,2.0,7.0,0.0,174.0,,,,,,,,,,,,,,,
83,6218.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,134.0,3.0,15.4,46.0,2.0,8.0,0.0,174.0,,,,,,,,,,,,,,,
84,6220.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,140.0,3.0,15.6,45.0,2.0,11.0,3.0,174.0,,,,,,,,,,,,,,,
85,6221.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,BAW Mendis,144.0,3.0,16.1,49.0,2.0,15.0,3.0,174.0,,,,,,,,,,,,,,,
86,6222.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,BAW Mendis,144.0,3.0,16.2,48.0,2.0,15.0,3.0,174.0,,,,,,,,,,,,,,,
87,6223.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,BAW Mendis,145.0,3.0,16.3,48.0,2.0,16.0,3.0,174.0,,,,,,,,,,,,,,,
88,6225.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,BAW Mendis,146.0,3.0,16.5,42.0,2.0,16.0,4.0,174.0,,,,,,,,,,,,,,,
89,6226.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,BAW Mendis,147.0,3.0,16.6,43.0,2.0,17.0,4.0,174.0,,,,,,,,,,,,,,,
90,6227.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,151.0,3.0,17.1,46.0,2.0,21.0,4.0,174.0,,,,,,,,,,,,,,,
91,6228.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,152.0,3.0,17.1,46.0,2.0,21.0,4.0,174.0,,,,,,,,,,,,,,,
92,6229.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,156.0,3.0,17.2,49.0,2.0,25.0,4.0,174.0,,,,,,,,,,,,,,,
93,6230.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,I Sharma,157.0,3.0,17.3,50.0,1.0,26.0,4.0,174.0,,,,,,,,,,,,,,,
94,6234.0,51.0,2008-05-25,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,AB Dinda,164.0,3.0,18.1,51.0,1.0,27.0,10.0,174.0,,,,,,,,,,,,,,,
95,6636.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,12.0,2.0,2.2,12.0,2.0,6.0,0.0,112.0,,,,,,,,,,,,,,,
96,6637.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,14.0,2.0,2.3,14.0,2.0,6.0,2.0,112.0,,,,,,,,,,,,,,,
97,6638.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,14.0,2.0,2.4,14.0,2.0,6.0,2.0,112.0,,,,,,,,,,,,,,,
98,6639.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,15.0,2.0,2.5,15.0,2.0,6.0,3.0,112.0,,,,,,,,,,,,,,,
99,6643.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,M Ntini,24.0,2.0,3.3,24.0,2.0,14.0,4.0,112.0,,,,,,,,,,,,,,,
100,6647.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,28.0,2.0,4.1,28.0,2.0,18.0,4.0,112.0,,,,,,,,,,,,,,,
101,6648.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,28.0,2.0,4.2,28.0,2.0,18.0,4.0,112.0,,,,,,,,,,,,,,,
102,6649.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,28.0,2.0,4.3,28.0,2.0,18.0,4.0,112.0,,,,,,,,,,,,,,,
103,6650.0,55.0,2008-05-31,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,MS Gony,28.0,3.0,4.4,28.0,3.0,18.0,4.0,112.0,,,,,,,,,,,,,,,
104,8122.0,67.0,2009-04-26,Newlands,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Kamran Khan,22.0,2.0,4.1,22.0,2.0,9.0,0.0,139.0,,,,,,,,,,,,,,,
105,8123.0,67.0,2009-04-26,Newlands,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,Kamran Khan,23.0,2.0,4.2,23.0,2.0,9.0,1.0,139.0,,,,,,,,,,,,,,,
106,8129.0,67.0,2009-04-26,Newlands,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,29.0,2.0,5.0,28.0,1.0,13.0,1.0,139.0,,,,,,,,,,,,,,,
107,8130.0,67.0,2009-04-26,Newlands,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,30.0,2.0,5.0,29.0,1.0,13.0,1.0,139.0,,,,,,,,,,,,,,,
108,8131.0,67.0,2009-04-26,Newlands,Kings XI Punjab,Rajasthan Royals,Yuvraj Singh,YK Pathan,31.0,2.0,5.1,30.0,1.0,13.0,2.0,139.0,,,,,,,,,,,,,,,
